,2007,2009,2010,2012,2013,2018,2019,2022,2023,2024
algoritmo de recomendação,1,3,,1,,,4,1,2,
geracao personalizada de um ambiente virtual 3D,1,1,,,1,,1,,3,
Folksonomy,,1,,1,,,,1,,
criação de uma interface esteticamente agradável e fácil ao usuário,,2,,,,,,,1,
propõe topologias de exibição adaptativas,,1,1,,,1,,,,
desenvolvimento um sistema de chat bot inteligente para navegação e/ou recomendação e/ou explicação,,,1,,,,,,1,1
personalização de configuração e exibição com base em perfil de usuário,,,1,,,,,,,
eye-tracking,,,,,,1,1,,1,
investiga novas formas não convencionais de exibição ao usuário,,,,,,1,1,,1,
curadoria inteligente,,,,,,,,1,,1